site,date,transect,location,quad,type,percent
BFG,8/4/19,2,20,D,ds,40
BFG,8/4/19,2,20,D,es,15
BFG,8/4/19,2,20,D,m,25
BFG,8/4/19,2,20,D,l,0
BFG,8/4/19,2,20,D,f,10
BFG,8/4/19,2,20,D,bg,10
BFG,8/4/19,3,0,A,ds,15
BFG,8/4/19,3,0,A,es,15
BFG,8/4/19,3,0,A,m,45
BFG,8/4/19,3,0,A,l,5
BFG,8/4/19,3,0,A,f,10
BFG,8/4/19,3,0,A,bg,10
BFG,8/4/19,3,0,B,ds,20
BFG,8/4/19,3,0,B,es,20
BFG,8/4/19,3,0,B,m,30
BFG,8/4/19,3,0,B,l,5
BFG,8/4/19,3,0,B,f,5
BFG,8/4/19,3,0,B,bg,20
BFG,8/4/19,3,0,C,ds,15
BFG,8/4/19,3,0,C,es,20
BFG,8/4/19,3,0,C,m,45
BFG,8/4/19,3,0,C,l,5
BFG,8/4/19,3,0,C,f,10
BFG,8/4/19,3,0,C,bg,5
BFG,8/4/19,3,0,D,ds,15
BFG,8/4/19,3,0,D,es,25
BFG,8/4/19,3,0,D,m,45
BFG,8/4/19,3,0,D,l,0
BFG,8/4/19,3,0,D,f,5
BFG,8/4/19,3,0,D,bg,10
BFG,8/4/19,3,20,A,ds,40
BFG,8/4/19,3,20,A,es,15
BFG,8/4/19,3,20,A,m,30
BFG,8/4/19,3,20,A,l,2
BFG,8/4/19,3,20,A,f,8
BFG,8/4/19,3,20,A,bg,5
BFG,8/4/19,3,20,B,ds,55
BFG,8/4/19,3,20,B,es,15
BFG,8/4/19,3,20,B,m,15
BFG,8/4/19,3,20,B,l,0
BFG,8/4/19,3,20,B,f,10
BFG,8/4/19,3,20,B,bg,5
BFG,8/4/19,3,20,C,ds,60
BFG,8/4/19,3,20,C,es,15
BFG,8/4/19,3,20,C,m,10
BFG,8/4/19,3,20,C,l,0
BFG,8/4/19,3,20,C,f,10
BFG,8/4/19,3,20,C,bg,5
BFG,8/4/19,3,20,D,ds,45
BFG,8/4/19,3,20,D,es,35
BFG,8/4/19,3,20,D,m,5
BFG,8/4/19,3,20,D,l,0
BFG,8/4/19,3,20,D,f,5
BFG,8/4/19,3,20,D,bg,10
